Cutthroat1	巴图克的猛击 Bartuc's Cut-Throat
ModStr5d	耐力最大值
Mauler	巨槌
StrSkill41	伤害
D2bnetHelp13	/whisper <*accountname>, /w <*accountname>
D2bnetHelp13b	/msg <*accountname>, /m <*accountname>
D2bnetHelp15	/squelch <*accountname>
D2bnetHelp15b	/ignore <*accountname>
D2bnetHelp16	/unsquelch <*accountname>
D2bnetHelp16b	/unignore <*accountname>
D2bnetHelp21	/ban <*accountname>
D2bnetHelp23	/designate <*accountname>
D2bnetHelp24	/kick <*accountname>
D2bnetHelp26	/whois <*accountname>, /where <*accountname>
D2bnetHelp26b	/whereis <*accountname>
D2bnetHelp32	/stats <*accountname> <programID>
x	地狱
x	噩梦
x	普通
x	选择游戏难度
ModStr6e	减缓精力消耗
xhm	翼盔【扩展】
Hsarus' Defense	哈斯拉柏的防御 Hsarus' Defense
strModEnhancedDamage	增强伤害 (ED)
strModAllResistances	所有抗性 +%d
strModAllSkillLevels	+%d 到所有技能等级
strModFireDamage	+%d 火焰伤害
strModFireDamageRange	增加 %d-%d 火焰伤害
strModColdDamage	+%d 冰冷伤害
strModColdDamageRange	增加 %d-%d 冰冷伤害
strModLightningDamage	+%d 闪电伤害
strModLightningDamageRange	增加 %d-%d 闪电伤害
strModMagicDamage	+%d 魔法伤害
strModMagicDamageRange	增加 %d-%d 魔法伤害
strModPoisonDamage	+%d 毒素伤害维持 %d 秒
strModPoisonDamageRange	增加 %d-%d 毒素伤害维持 %d 秒
strModMinDamage	+%d 伤害
strModMinDamageRange	增加 %d-%d 伤害
strModEnhancedDamage	增强伤害 (ED)
ModStre9j	火焰伤害降低
ModStre9k	冰冷伤害降低
ModStre9l	闪电伤害降低
ModStre9m	毒素伤害降低
ModStre9n	吸收魔法伤害
ModStre9o	吸收火焰伤害
ModStre9p	吸收冰冷伤害
ModStre9q	吸收闪电伤害
ModStre9r	吸收毒素伤害
of the Wraith	怨灵之
of Equilibrium	均衡之
Valkyrie's	女武神
Maiden's	女战士
Blank	虚无之
strEskilllighttoattack	 对你的攻击
StrSklTabItem1	+%d 镖枪和长矛技能
StrSklTabItem2	+%d 被动和魔法技能
StrSklTabItem3	+%d 弓和十字弓技能
StrSklTabItem4	+%d 防御性光环
StrSklTabItem5	+%d 攻击性光环
StrSklTabItem6	+%d 战斗技能
StrSklTabItem6	+%d 召唤技能
StrSklTabItem7	+%d 毒素和白骨技能
StrSklTabItem8	+%d 诅咒
StrSklTabItem10	+%d 战嚎
StrSklTabItem11	+%d 战斗技能
StrSklTabItem12	+%d 支配性
StrSklTabItem13	+%d 冰冷系技能
StrSklTabItem14	+%d 闪电系技能
StrSklTabItem15	+%d 火焰系技能
StrSklTabItem16	+%d 召唤系技能
StrSklTabItem17	+%d 变形系技能
StrSklTabItem18	+%d 元素系技能
StrSklTabItem19	+%d 陷阱
StrSklTabItem20	+%d 影子训练
StrSklTabItem21	+%d 武学艺术
x	人物 '%s' 已经超过3个月未使用且时效已过。
upgraderestrictEx	不能放入魔法、已镶嵌、稀有、独特或套装物品。不接受珠宝。不能留空，塞垃圾。
UndeadDescriptX	亡灵
DemonID	恶魔
strScaryMonDescA	
strScaryMonDescB	所有伤害无效
strScaryMonDesc1	火焰系无效
strScaryMonDesc2	冰冷系无效
strScaryMonDesc3	闪电系无效
strScaryMonDesc4	毒素系无效
strScaryMonDesc5	实体攻击无效
strScaryMonDesc6	魔法系无效
PlayerNameOnItemstring	%s的
PlayerNameOnItemstringX	%s的
SetItemFormatX	%0
x	SC天梯
x	HC天梯
D2bnetHelp47a	EXPANSION LADDER 依照经验值排名，显示优秀的人物。预设为显示所有排名，你也可以选取职业(By Class)项目检视所有排序过的列表。
D2bnetHelp48a	EXPANSION HARDCORE LADDER 依照经验值排名，显示优秀的专家模式人物。预设为显示所有排名，你也可以选取职业(By Class)项目检视所有排序过的列表。
x	全面修复
x	修复所有装备: 
x	没有需要修复的装备物品
Druid	德鲁伊
Assassin	刺客
partychardru	德鲁伊
partycharass	刺客
x	无法进入游戏。暗黑破坏神II的人物，无法加入由暗黑破坏神II资料片之人物所建立的游戏中。
x	无法进入游戏。一位暗黑破坏神II资料片的人物无法加入一个由暗黑破坏神II所创建的游戏。
charmonsterX	%s：%d%%
charmontohit1X	力量伤害加成:
charmontohit2X	敏捷伤害加成:
Party1X	%s和你签订了生死状。
Party2X	%s和你签订了生死状。
Party10	%s不再让你拿取他尸体上的东西。
Party11	%s不再让你拿取她尸体上的东西。
Party12	你对其他玩家展现敌意
Party13	%s对你产生敌意，但是你对他仍保持友善
Party14	%s对你产生敌意，但是你对她仍保持友善
Party 15	%s对你产生友善，但是你对他仍保持敌意
Party16	%s对你产生友善，但是你对她仍保持敌意
Party17	你对其他人表示友善
Party18	你可以搜括其他人的尸体
Party19	%s可以搜括你的尸体，但是你无法搜括他的尸体
Party20	%s可以搜括你的尸体，但是你无法搜括她的尸体
Party21	%s无法搜括你的尸体，但是你可以搜括他的尸体
Party22	%s无法搜括你的尸体，但是你可以搜括她的尸体
Party23	你们之中任何人都无法搜括其他人的尸体
Civerb's Ward	希弗柏的防护 Civerb's Ward
Civerb's Icon	希弗伯的图案 Civerb's Icon
Civerb's Cudgel	希弗伯的短棍 Civerb's Cudgel
Hsarus' Iron Heel	哈斯拉柏的铁后跟 Hsarus' Iron Heel
Hsarus' Iron Fist	哈斯拉柏的铁拳 Hsarus' Iron Fist
Hsarus' Iron Stay	哈斯拉柏的铁胸衣 Hsarus' Iron Stay
Cleglaw's Tooth	克雷得劳之牙 Cleglaw's Tooth
Cleglaw's Claw	克雷得劳之爪 Cleglaw's Claw
Cleglaw's Pincers	克雷得劳之钳 Cleglaw's Pincers
Iratha's Cord	依雷撒之绳 Iratha's Cord
Iratha's Coil	依雷撒的线圈 Iratha's Coil
Iratha's Cuff	依雷撒的袖口 Iratha's Cuff
Iratha's Collar	依雷撒的项圈 Iratha's Collar
Isenhart's Horns	依森哈德的号角 Isenhart's Horns
Isenhart's Case	依森哈德的外壳 Isenhart's Case
Isenhart's Parry	依森哈德的闪避 Isenhart's Parry
